edge_id,from_node_id,to_node_id,区域ID,区域名,方向,车道数,长度,轨迹,judgment,道路名称,道路等级
'793877967#0',3721939232,7426017702,320508,姑苏区,南S,3,23.55,"MULTILINESTRING((120.62240962516748 31.312135907410177, 120.62244421812895 31.311925679617804))",driveway,宫巷,巷（弄）
'793877967#1',7426017702,cluster_3001497792_gneJ203,320508,姑苏区,南S,3,81.14,"MULTILINESTRING((120.62244461017015 31.311922620356057, 120.62252562990696 31.311194288366803))",driveway,宫巷,巷（弄）
'793877969',1423186282,5398296843,320508,姑苏区,西W,3,29.77,"MULTILINESTRING((120.62566029639768 31.31335947517468, 120.62565876567906 31.313353494183698, 120.6255995882386 31.3133380587899, 120.62551719093548 31.3133311227559, 120.62538142406817 31.313311744782297))",driveway,碧凤坊,巷（弄）
'793877970#0',4095734706,7426017717,320508,姑苏区,东E,1,27.88,"MULTILINESTRING((120.62347541708385 31.31360593412265, 120.62376569265281 31.313638817753215))",non-driveway,步行道,步行道
'793877970#1',7426017717,4403791508,320508,姑苏区,东E,1,41.59,"MULTILINESTRING((120.62381806789534 31.313644838274957, 120.62425112484244 31.313693893220357))",non-driveway,步行道,步行道
'793877970#2',4403791508,7497044419,320508,姑苏区,东E,1,114.97,"MULTILINESTRING((120.62425426591216 31.31369431213655, 120.62545053476333 31.31383541545332))",non-driveway,步行道,步行道
'793877971#0',4095734706,4403791502,320508,姑苏区,北N,1,105.77,"MULTILINESTRING((120.62343488507364 31.313626108054063, 120.62324612522201 31.314566019613252))",non-driveway,洙泗巷,巷（弄）
'793877971#1',4403791502,4095734707,320508,姑苏区,北N,1,118.97,"MULTILINESTRING((120.62324574904623 31.31456844782747, 120.62305166159607 31.315628215392177))",non-driveway,洙泗巷,巷（弄）
'793877980',3001496644,7426017712,320508,姑苏区,南S,1,65.72,"MULTILINESTRING((120.62327038045353 31.312923352698608, 120.6233643406238 31.31233622972715))",non-driveway,步行道,步行道
'793877981',3001496644,4095734706,320508,姑苏区,北N,1,72.33,"MULTILINESTRING((120.6233019938165 31.313019812171117, 120.62326607289772 31.313249497072444, 120.62342595369762 31.313270766901493, 120.62338917759644 31.31353867737004, 120.62339755689581 31.31354803212093))",non-driveway,步行道,步行道
'793877982',7426017713,7426017716,320508,姑苏区,北N,1,66.77,"MULTILINESTRING((120.62392884675133 31.312404766064617, 120.62389393830063 31.312665315603656, 120.62385305397216 31.31295046706349, 120.62388342728242 31.312995945009735))",non-driveway,步行道,步行道
'793877983',7426017716,7426017717,320508,姑苏区,北N,1,56.64,"MULTILINESTRING((120.62390478089888 31.31311611525559, 120.62380598099124 31.31359906755603, 120.62379866657491 31.313618413579153))",non-driveway,步行道,步行道
'793885077#0',cluster_4781115856_cluster_3510548314_3547745988,5868817026,320508,姑苏区,东E,5,143.24,"MULTILINESTRING((120.61976298007714 31.308711598757718, 120.62029389763497 31.308790621050182, 120.62049758529947 31.308819831685234, 120.62071372259882 31.3088510766337, 120.62124373167804 31.30894541081926))",driveway,干将东路,主干路
'793885077#1',5868817026,cluster_gneJ344_gneJ345_gneJ346_gneJ347_gneJ348,320508,姑苏区,东E,5,82.37,"MULTILINESTRING((120.62124373167804 31.30894541081926, 120.62209145515804 31.309096317591298))",driveway,干将东路,主干路
'793885078#0',cluster_gneJ350_gneJ351_gneJ352_gneJ353_gneJ354,5121497041,320508,姑苏区,南S,3,61.96,"MULTILINESTRING((120.62410441804859 31.309425368312898, 120.62422367836906 31.30887614219804))",non-driveway,公园路,支路
'793885078#1',5121497041,5121496954,320508,姑苏区,南S,3,65.81,"MULTILINESTRING((120.62425013663659 31.3087386382142, 120.62435007652323 31.30815135398918))",non-driveway,公园路,支路
'793885078#2',5121496954,803318164,320508,姑苏区,南S,3,263.33,"MULTILINESTRING((120.62435197379591 31.308142730674838, 120.62498428843246 31.30583117641595))",non-driveway,公园路,支路
'793885078#3',803318164,4508903393,320508,姑苏区,南S,3,59.78,"MULTILINESTRING((120.62503140183334 31.305686748798113, 120.62522202730864 31.305173114630477))",non-driveway,公园路,支路
'793885078#4',4508903393,cluster_265739853_833668188,320508,姑苏区,南S,3,118.56,"MULTILINESTRING((120.6252222576607 31.305172307163843, 120.62527733461921 31.30494910870236, 120.6254194083696 31.304118091816008))",non-driveway,公园路,支路
'793885079',cluster_gneJ350_gneJ351_gneJ352_gneJ353_gneJ354,cluster_cluster_cluster_3510548319_7783327117_cluster_7783327118_803412123_gneJ96,320508,姑苏区,东E,5,204.59,"MULTILINESTRING((120.62423047532697 31.309475593772802, 120.62489008715797 31.309625705776856, 120.62525185847649 31.30970166766678, 120.62567247166943 31.309789630371682, 120.62630943494946 31.3099256972044))",driveway,干将东路,主干路
'793885080#1',cluster_4781115856_cluster_3510548314_3547745988,5121497081,320508,姑苏区,南S,3,48.42,"MULTILINESTRING((120.61965602282943 31.30857874673683, 120.6197272922935 31.3081467868148))",driveway,锦帆路,支路
'793885080#2',5121497081,803311154,320508,姑苏区,南S,3,194.33,"MULTILINESTRING((120.61972766852216 31.30814435861193, 120.6197812784738 31.307804698156946, 120.6198077083753 31.30756834444954, 120.61982857668959 31.307310872880326, 120.61989991360348 31.30640008526432))",driveway,锦帆路,支路
'793885080#3',803311154,5867471415,320508,姑苏区,南S,3,203.86,"MULTILINESTRING((120.61991723890256 31.306254205486724, 120.62021638512397 31.304433997554785))",non-driveway,锦帆路,支路
'793885080#4',5867471415,cluster_1282714409_833668196,320508,姑苏区,南S,3,83.02,"MULTILINESTRING((120.62021676358609 31.30443147919794, 120.62033625155158 31.303689971885593))",non-driveway,锦帆路,支路
'793888294',4381041521,7426109698,320508,姑苏区,北N,1,0.2,"MULTILINESTRING((120.63855839779045 31.31280331352239, 120.63855783001011 31.312805016730152))",non-driveway,无名,巷（弄）
'794261176',4984158009,4603624884,320508,姑苏区,东E,4,251.02,"MULTILINESTRING((120.6337882312093 31.332929038397083, 120.63388830443321 31.33293575450564, 120.63398742219049 31.332938664850836, 120.6340653900805 31.332938569504407, 120.63415924053949 31.332933626063703, 120.63425092933291 31.3329226900185, 120.63433461456516 31.332908269216805, 120.63444014276004 31.332885953462274, 120.6345441642068 31.332856665051466, 120.63465402946706 31.332816390680254, 120.63475644103369 31.332771649573004, 120.6348301941695 31.332734226741128, 120.6349256600392 31.332681510733924, 120.63502688137115 31.33261293676017, 120.63509041362167 31.332564051347717, 120.63514361943352 31.33251632842925, 120.6352298121087 31.332431062297943, 120.63530907712749 31.332337100165955, 120.63536585810708 31.33225986005081, 120.63541415801348 31.332185620311378, 120.63546453707951 31.33208706701565, 120.63551717114889 31.33195716841884, 120.6355567297377 31.33182071536706, 120.63557453961684 31.331671595350432))",driveway,东汇路,次干路
'795311121',5872725987,gneJ310,320508,姑苏区,北N,3,45.24,"MULTILINESTRING((120.62827748129304 31.3044293349564, 120.62824626926425 31.304836426792864))",driveway,凤凰街,次干路
'795311121.64',gneJ310,cluster_566899856_5872726006,320508,姑苏区,北N,4,130.31,"MULTILINESTRING((120.6282575723894 31.30490933053428, 120.6282300458321 31.305269951283748, 120.62819004059 31.306082294254285))",driveway,凤凰街,次干路
'795311148#1',5872725987,gneJ333,320508,姑苏区,南S,3,94.82,"MULTILINESTRING((120.62814366159735 31.304156736661547, 120.62813553088662 31.30335378592295, 120.6281375673366 31.303301872861628))",driveway,凤凰街,次干路
'795311148#2',gneJ333,3212050740,320508,姑苏区,南S,3,60.07,"MULTILINESTRING((120.62813861953087 31.30323893816697, 120.62813963208198 31.302930319249334, 120.6281504188137 31.302696920824285))",driveway,凤凰街,次干路
'795311148#3',3212050740,266775136,320508,姑苏区,南S,3,128.54,"MULTILINESTRING((120.6281506141851 31.30269331674716, 120.62818292117227 31.302305365788072, 120.62820815744799 31.30197320330281, 120.62825157248835 31.30165752108824, 120.62826685224796 31.301538208559045))",driveway,凤凰街,次干路
'795509472#5',cluster_gneJ104_gneJ118,gneJ95,320508,姑苏区,北N,2,370.56,"MULTILINESTRING((120.61446512756596 31.3255849511901, 120.61433251589382 31.325773060151764, 120.61426751498931 31.32584662027298, 120.61416741245925 31.325962188218615, 120.61398521520107 31.326145857247297, 120.61370737789349 31.32643056551011, 120.61356005208678 31.326593777629213, 120.61345745896583 31.32670388714344, 120.61327950969948 31.32691478170407, 120.61321889061618 31.32698950504064, 120.6131843182142 31.32703549086883, 120.61309379312753 31.3271586317438, 120.6130793922621 31.327192185621445, 120.61304521734698 31.32724322952177, 120.61298455392077 31.32734049976563, 120.61287791988067 31.327531525481984, 120.61271217660173 31.3278580912621, 120.61260806936954 31.328090471389967, 120.6125142726015 31.328334768158744, 120.61249933543085 31.328377060540504, 120.61249036270718 31.328403680415917, 120.61248628176939 31.328419658544366))",driveway,人民路,主干路
'795509472#5.140',gneJ95,cluster_4198992040_566899896,320508,姑苏区,北N,4,75.21,"MULTILINESTRING((120.6125307322589 31.328481815874948, 120.6125080863087 31.328571405485903, 120.61248776184057 31.328656438529467, 120.61246397254047 31.32875385350334, 120.61243089677072 31.32889862652118, 120.61238232854306 31.329082705233628, 120.6123666970138 31.329123361223004, 120.61236112068414 31.329140303620154))",driveway,人民路,主干路
'795509472#6',cluster_4198992040_566899896,566834106,320508,姑苏区,北N,3,45.96,"MULTILINESTRING((120.61230636952759 31.32942356794541, 120.61224412426839 31.329832960690315))",driveway,人民路,主干路
'795866926#0',430312133,cluster_4462309640_4462309642,320508,姑苏区,东E,3,154.74,"MULTILINESTRING((120.6101380334696 31.318437297672922, 120.61174558391883 31.318642919677174))",driveway,东中市,次干路
'795866926#2',cluster_4462309640_4462309642,gneJ341,320508,姑苏区,东E,3,115.99,"MULTILINESTRING((120.61183473465812 31.31865296668808, 120.61303889361479 31.318811831246343))",driveway,东中市,次干路
'795866926#4',gneJ341,gneJ343,320508,姑苏区,东E,3,11.19,"MULTILINESTRING((120.61313492297873 31.318824079719374, 120.61325129455697 31.318837878975025))",driveway,东中市,次干路
'795866926#4.16',gneJ343,4508903980,320508,姑苏区,东E,3,86.91,"MULTILINESTRING((120.61334680121509 31.318850027377056, 120.61424824188903 31.31897339664409))",driveway,无名,巷（弄）
'795866926#5',4508903980,cluster_cluster_cluster_4198991673_566899929_gneJ141_gneJ143_gneJ146_gneJ155_gneJ157,320508,姑苏区,东E,4,153.07,"MULTILINESTRING((120.61433474253845 31.31895525289073, 120.6154218705061 31.319085132551105, 120.61592766074085 31.31913782263228))",driveway,东中市,次干路
'795866927#1',566899960,cluster_4462260400_566899910_5872862397,320508,姑苏区,西W,3,251.34,"MULTILINESTRING((120.60843017008365 31.3217043190267, 120.60740789103517 31.32146474346868, 120.60714147339861 31.321401782459233, 120.6069070163144 31.321350420321828, 120.60658792931255 31.32128052325071, 120.60633890143866 31.321227896202654, 120.60609377985712 31.32117867863459, 120.60587114923266 31.321137456316443))",non-driveway,桃花坞大街,次干路
'795866928#0',566834103,4447556401,320508,姑苏区,南S,4,22.65,"MULTILINESTRING((120.6215255586942 31.33068026937107, 120.62150093634607 31.330477062046917))",driveway,齐门路,次干路
'795866928#1',4447556401,4451401645,320508,姑苏区,南S,4,35.56,"MULTILINESTRING((120.62149653580877 31.33040139985489, 120.62149703295805 31.330231307603366, 120.62150947358995 31.330079294719788))",driveway,齐门路,次干路
'795866928#2',4451401645,803392221,320508,姑苏区,南S,5,54.47,"MULTILINESTRING((120.62148225149042 31.330004472112886, 120.62151747368215 31.329623524169243, 120.62152977741361 31.329514530156455))",driveway,齐门路,次干路
'795866928#3',803392221,4451401595,320508,姑苏区,南S,4,98.01,"MULTILINESTRING((120.6215909885748 31.329361797932346, 120.62180145792196 31.328496702625436))",driveway,齐门路,次干路
'795866928#4',4451401595,4778201460,320508,姑苏区,南S,4,64.24,"MULTILINESTRING((120.62183544549193 31.328361052981737, 120.6219821598158 31.327795654886984))",driveway,齐门路,次干路
'795866928#5',4778201460,4451401523,320508,姑苏区,南S,4,124.36,"MULTILINESTRING((120.6219826275138 31.327793769529872, 120.62208531791042 31.327316033319068, 120.62227868449688 31.326700270434483))",driveway,齐门路,次干路
'795866928#6',4451401523,430312150,320508,姑苏区,南S,4,221.56,"MULTILINESTRING((120.62232040111748 31.32656638727404, 120.62291907322899 31.324635741942956))",driveway,齐门路,次干路
'796217838',566899960,4462309762,320508,姑苏区,南S,3,50,"MULTILINESTRING((120.60849347702043 31.32158978343104, 120.60862376545988 31.321153069874214))",driveway,中街路,次干路
'798639455#1',3023686576,4580786346,320508,姑苏区,南S,1,32,"MULTILINESTRING((120.62986959964397 31.314850142596292, 120.62993019882045 31.314616040797397, 120.62997731381209 31.314588861181285))",non-driveway,步行道,步行道
'798639455#2',4580786346,1423186300,320508,姑苏区,南S,1,13.72,"MULTILINESTRING((120.63004174265866 31.314499588357023, 120.6300666466041 31.31437774777535))",non-driveway,步行道,步行道
'798639457#0',5245311476,3212068221,320508,姑苏区,西W,3,264.98,"MULTILINESTRING((120.63030760383161 31.312966000704858, 120.63010362442533 31.312918581110594, 120.62922364515626 31.31276171855912, 120.6283255593669 31.31263581208943, 120.62757617867503 31.3125203147677))",driveway,钮家巷,巷（弄）
'798639457#1',3212068221,cluster_1423186260_4095734715,320508,姑苏区,西W,3,148.7,"MULTILINESTRING((120.62757094660402 31.31251949651118, 120.62604273209264 31.312240052050644))",driveway,钮家巷,巷（弄）
'801546982',cluster_7497044400_cluster_1315251491_7497044396,cluster_1315251435_7497044395,320508,姑苏区,北N,6,14.57,"MULTILINESTRING((120.63014363387136 31.31079313055025, 120.6301136935751 31.31087284869725, 120.63009139359747 31.31092014855608))",driveway,叶家弄,巷（弄）
