line_id,line_name,station_id,station_name,station_sequence,gd_longitude,gd_latitude,longitude,latitude
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV11421787,圩北港桥,8,120.571367,31.34911,120.56716744876168,31.351264302947055
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129712,圩南港桥,9,120.574965,31.348025,120.57077118920138,31.350183605246542
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129713,联城桥东,10,120.584631,31.345894,120.58044911756464,31.348061045240406
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129714,旺巷桥,11,120.588882,31.345629,120.58470371099452,31.347798197234667
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129715,美地花园,12,120.59204,31.34546,120.5878637465846,31.347630259869703
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129716,汇翠花园,13,120.595113,31.343902,120.5909383272252,31.346073343061185
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10614121,草桥中学,14,120.595477,31.340547,120.59130273964996,31.342719538942816
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129718,江星桥,15,120.595534,31.337365,120.5913600202348,31.339538655008383
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129720,大观名园,16,120.595612,31.333815,120.5914383382848,31.335989914858676
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130295,平川路江星路东,17,120.597397,31.332582,120.59322400487603,31.33475744070536
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130308,苏州平江医院,18,120.600087,31.333767,120.59591444427022,31.335941886703612
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130727,平川路广济北路东,19,120.607565,31.334253,120.60339193219318,31.33642571126328
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130054,平川路人民路西,20,120.611445,31.334562,120.60727055863124,31.336732644410773
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130808,人民路苏站路北,21,120.614944,31.333702,120.61076779220487,31.335870668303922
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129588,平门,22,120.617808,31.324149,120.61363064498674,31.326318893081034
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129589,北寺塔,23,120.619805,31.319744,120.61562644262234,31.32191378702984
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129596,接驾桥,24,120.620434,31.315443,120.61625526526704,31.31761381720743
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129910,察院场观前街西,25,120.620894,31.312474,120.61671511029752,31.314645507656895
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129881,乐桥北,26,120.622018,31.307426,120.6178385133872,31.309598353058558
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129905,饮马桥,27,120.622782,31.302904,120.61860216598458,31.305077341907896
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10849375,苏州图书馆,28,120.623385,31.29918,120.61920488712012,31.30135418448835
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130460,工人文化宫,29,120.624379,31.292908,120.62019840535862,31.295083631731774
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130305,南门,30,120.624735,31.290365,120.62055424713543,31.29254127138039
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130306,人民桥南,31,120.625538,31.284996,120.62135684140198,31.28717357359586
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129795,团结桥东,32,120.627695,31.279622,120.62351188635037,31.281799329264093
