line_id,line_name,line_type,start_stop,end_stop,start_time,end_time,basic_price,total_price,distance
320500010225,7路(复兴桥--嘉元花园),普通公交,复兴桥,嘉元花园,[],[],2,2,20.06673
320500010300,8路(城北西路首末站--城北西路首末站),普通公交,城北西路首末站,城北西路首末站,0515,2100,2,2,33.32655
320500010168,88路(喜庆花园--福运公寓),普通公交,喜庆花园,福运公寓,0530,2030,2,3,23.07674
320500010167,88路(福运公寓--喜庆花园),普通公交,福运公寓,喜庆花园,0530,2030,2,3,23.68478
320500010900,89路(狮山国际会议中心公交换乘枢纽--采莲路富元路南2),普通公交,狮山国际会议中心公交换乘枢纽,采莲路富元路南2,[],[],2,2,24.01948
320500010898,89路(采莲路富元路南--狮山国际会议中心南),普通公交,采莲路富元路南,狮山国际会议中心南,0530,2100,2,2,22.18005
320500010169,811路(京沪高铁苏州北站--京沪高铁苏州北站),普通公交,京沪高铁苏州北站,京沪高铁苏州北站,0540,2000,2,2,35.71982
320500010074,9路(官渎里立交换乘枢纽站--新庄立交换乘枢纽站),普通公交,官渎里立交换乘枢纽站,新庄立交换乘枢纽站,0515,2250,2,2,12.29685
320500010073,9路(新庄立交换乘枢纽站--官渎里立交换乘枢纽站),普通公交,新庄立交换乘枢纽站,官渎里立交换乘枢纽站,0500,2210,1,2,13.24865
320500010101,921路(城北西路首末站--宝带西路首末站北),普通公交,城北西路首末站,宝带西路首末站北,0610,2040,2,2,20.98863
320500010100,921路(宝带西路首末站--城北西路首末站),普通公交,宝带西路首末站,城北西路首末站,0530,2040,2,2,21.35250
320500010099,923路(平海路首末站--宝带西路首末站),普通公交,平海路首末站,宝带西路首末站,0515,2030,2,2,20.49159
320500010098,923路(宝带西路首末站--汇翠花园),普通公交,宝带西路首末站,汇翠花园,0620,2135,2,2,18.52747
320500010290,931路(杏秀桥首末站--新庄立交换乘枢纽站),普通公交,杏秀桥首末站,新庄立交换乘枢纽站,[],[],2,2,13.05693
320500010289,931路(新庄立交换乘枢纽站--杏秀桥首末站),普通公交,新庄立交换乘枢纽站,杏秀桥首末站,[],[],2,2,13.07969
320500010132,932路(粮食批发市场--正大会员店),普通公交,粮食批发市场,正大会员店,0600,2040,2,3,17.90616
320500010131,932路(正大会员店--粮食批发市场),普通公交,正大会员店,粮食批发市场,0600,1930,2,3,17.90870
320500010284,933路(新庄立交换乘枢纽站--东方大道(古玩城)首末站),普通公交,新庄立交换乘枢纽站,东方大道(古玩城)首末站,0600,2100,2,2,15.32059
320500010283,933路(东方大道(古玩城)首末站--新庄立交换乘枢纽站),普通公交,东方大道(古玩城)首末站,新庄立交换乘枢纽站,0600,2100,2,2,15.15202
320500010097,949路(杏秀桥首末站--平海路首末站南),普通公交,杏秀桥首末站,平海路首末站南,0600,2200,2,2,14.54686
320500010096,949路(平海路首末站南--杏秀桥首末站),普通公交,平海路首末站南,杏秀桥首末站,0500,2100,2,2,14.50433
900000061071,9003路社区巴士(葑门首末站--葑门首末站),[],葑门首末站,葑门首末站,0630,2000,1,0,13.04892
900000140258,9003路高峰支线(十中定制公交专线)(乐桥--大公园),普通公交,乐桥,大公园,[],[],1,1,5.33035
900000128218,9006路区间(苏州大学本部--苏州大学本部),普通公交,苏州大学本部,苏州大学本部,[],[],1,1,3.76705
900000029145,9006路社区巴士(大公园--大公园),[],大公园,大公园,[],[],1,1,4.19438
900000071617,9007路社区巴士(轮船码头首末站--轮船码头首末站),[],轮船码头首末站,轮船码头首末站,[],[],1,1,9.83361
