odtaz_timeslot,o2d_taz,timeslot,ODcount
"172-146,9-17",172-146,9-17,12
"172-147,0-7",172-147,0-7,12
"172-154,9-17",172-154,9-17,12
"172-158,0-7",172-158,0-7,12
"172-187,19-24",172-187,19-24,12
"172-195,0-7",172-195,0-7,12
"172-195,19-24",172-195,19-24,12
"172-205,19-24",172-205,19-24,12
"172-205,9-17",172-205,9-17,24
"172-207,19-24",172-207,19-24,12
"172-61,7-9",172-61,7-9,12
"172-62,7-9",172-62,7-9,12
"173-142,0-7",173-142,0-7,12
"173-144,9-17",173-144,9-17,12
"173-163,9-17",173-163,9-17,12
"173-2,0-7",173-2,0-7,12
"173-36,9-17",173-36,9-17,12
"173-45,0-7",173-45,0-7,12
"173-7,9-17",173-7,9-17,12
"173-83,0-7",173-83,0-7,12
"173-95,9-17",173-95,9-17,12
"173-96,19-24",173-96,19-24,12
"173-96,9-17",173-96,9-17,12
"174-118,9-17",174-118,9-17,12
"174-128,7-9",174-128,7-9,12
"174-163,9-17",174-163,9-17,24
"174-164,17-19",174-164,17-19,24
"174-164,7-9",174-164,7-9,12
"174-165,17-19",174-165,17-19,12
"174-165,9-17",174-165,9-17,12
"174-175,9-17",174-175,9-17,12
"174-176,9-17",174-176,9-17,24
"174-177,9-17",174-177,9-17,12
"174-190,17-19",174-190,17-19,12
"174-190,7-9",174-190,7-9,12
"174-194,9-17",174-194,9-17,24
"174-197,9-17",174-197,9-17,12
"174-208,9-17",174-208,9-17,12
"174-47,17-19",174-47,17-19,12
"175-116,17-19",175-116,17-19,12
"175-129,9-17",175-129,9-17,12
"175-174,19-24",175-174,19-24,12
"175-201,19-24",175-201,19-24,12
"175-205,0-7",175-205,0-7,12
"176-1005,9-17",176-1005,9-17,12
"176-1009,19-24",176-1009,19-24,9
"176-1015,0-7",176-1015,0-7,12
"176-128,17-19",176-128,17-19,12
"176-128,9-17",176-128,9-17,12
"176-129,0-7",176-129,0-7,24
"176-129,9-17",176-129,9-17,12
"176-131,17-19",176-131,17-19,12
"176-144,0-7",176-144,0-7,12
"176-161,19-24",176-161,19-24,12
"176-162,19-24",176-162,19-24,12
"176-164,0-7",176-164,0-7,12
"176-164,17-19",176-164,17-19,12
"176-165,19-24",176-165,19-24,12
"176-174,7-9",176-174,7-9,12
"176-194,9-17",176-194,9-17,12
"176-196,0-7",176-196,0-7,12
"176-197,19-24",176-197,19-24,12
"176-205,0-7",176-205,0-7,12
"176-3,7-9",176-3,7-9,12
"176-43,0-7",176-43,0-7,12
"176-47,0-7",176-47,0-7,12
"176-47,19-24",176-47,19-24,8
"176-47,9-17",176-47,9-17,12
"177-161,19-24",177-161,19-24,12
"177-161,9-17",177-161,9-17,12
"177-162,0-7",177-162,0-7,12
"177-163,9-17",177-163,9-17,12
"177-164,17-19",177-164,17-19,12
"177-164,9-17",177-164,9-17,12
"177-165,0-7",177-165,0-7,24
"177-165,19-24",177-165,19-24,12
"177-176,9-17",177-176,9-17,12
"177-177,19-24",177-177,19-24,12
"177-178,9-17",177-178,9-17,12
"177-83,0-7",177-83,0-7,12
"178-1009,17-19",178-1009,17-19,12
"178-104,0-7",178-104,0-7,12
"178-114,0-7",178-114,0-7,12
"178-114,19-24",178-114,19-24,12
"178-116,19-24",178-116,19-24,12
"178-117,9-17",178-117,9-17,12
"178-128,0-7",178-128,0-7,12
"178-128,19-24",178-128,19-24,12
"178-140,9-17",178-140,9-17,12
"178-142,0-7",178-142,0-7,12
"178-144,7-9",178-144,7-9,12
"178-17,9-17",178-17,9-17,12
"178-194,17-19",178-194,17-19,12
"178-199,0-7",178-199,0-7,12
"178-199,7-9",178-199,7-9,12
"178-204,0-7",178-204,0-7,12
"178-37,7-9",178-37,7-9,12
"178-65,9-17",178-65,9-17,12
"179-1007,9-17",179-1007,9-17,12
"179-104,9-17",179-104,9-17,12
"179-108,19-24",179-108,19-24,12
"179-114,9-17",179-114,9-17,12
"179-128,0-7",179-128,0-7,12
"179-128,19-24",179-128,19-24,12
"179-142,0-7",179-142,0-7,12
"179-144,19-24",179-144,19-24,12
"179-150,9-17",179-150,9-17,12
"179-152,9-17",179-152,9-17,12
"179-156,9-17",179-156,9-17,36
"179-159,17-19",179-159,17-19,12
"179-159,9-17",179-159,9-17,12
"179-167,0-7",179-167,0-7,12
"179-178,9-17",179-178,9-17,12
"179-179,9-17",179-179,9-17,12
"179-181,9-17",179-181,9-17,12
"179-190,9-17",179-190,9-17,12
"179-197,17-19",179-197,17-19,12
"179-201,19-24",179-201,19-24,12
"179-204,0-7",179-204,0-7,12
"179-205,9-17",179-205,9-17,12
"179-24,19-24",179-24,19-24,12
"179-24,9-17",179-24,9-17,12
"179-47,0-7",179-47,0-7,12
"179-47,17-19",179-47,17-19,12
"179-52,19-24",179-52,19-24,12
"179-61,17-19",179-61,17-19,12
"179-61,9-17",179-61,9-17,12
"179-62,0-7",179-62,0-7,12
"179-62,17-19",179-62,17-19,12
"179-71,19-24",179-71,19-24,24
"179-76,17-19",179-76,17-19,24
"179-77,9-17",179-77,9-17,24
"179-86,0-7",179-86,0-7,12
"179-86,9-17",179-86,9-17,12
"179-95,17-19",179-95,17-19,12
"179-95,9-17",179-95,9-17,12
"179-96,0-7",179-96,0-7,12
"18-10,17-19",18-10,17-19,12
"18-10,9-17",18-10,9-17,12
"18-1011,7-9",18-1011,7-9,12
"18-1015,9-17",18-1015,9-17,12
"18-104,19-24",18-104,19-24,12
"18-114,0-7",18-114,0-7,12
"18-117,19-24",18-117,19-24,12
"18-144,7-9",18-144,7-9,12
"18-151,0-7",18-151,0-7,12
"18-159,0-7",18-159,0-7,12
"18-2,19-24",18-2,19-24,12
"18-2,7-9",18-2,7-9,12
"18-201,7-9",18-201,7-9,12
"18-3,17-19",18-3,17-19,12
"18-3,9-17",18-3,9-17,24
"18-32,9-17",18-32,9-17,24
"18-47,17-19",18-47,17-19,12
"18-47,19-24",18-47,19-24,12
"18-47,9-17",18-47,9-17,36
"18-58,9-17",18-58,9-17,24
"18-7,19-24",18-7,19-24,12
"18-7,9-17",18-7,9-17,12
"18-98,19-24",18-98,19-24,12
"180-114,9-17",180-114,9-17,12
"180-138,9-17",180-138,9-17,12
"180-164,9-17",180-164,9-17,12
"180-198,9-17",180-198,9-17,24
"180-200,0-7",180-200,0-7,12
"180-202,17-19",180-202,17-19,12
"180-3,19-24",180-3,19-24,24
"180-3,9-17",180-3,9-17,12
"180-37,9-17",180-37,9-17,12
"180-44,9-17",180-44,9-17,12
"180-47,0-7",180-47,0-7,12
"180-75,7-9",180-75,7-9,12
"180-76,7-9",180-76,7-9,24
"181-1,7-9",181-1,7-9,9
"181-1007,9-17",181-1007,9-17,12
"181-104,17-19",181-104,17-19,12
"181-104,9-17",181-104,9-17,12
"181-114,19-24",181-114,19-24,12
"181-123,7-9",181-123,7-9,12
"181-127,17-19",181-127,17-19,12
"181-129,17-19",181-129,17-19,12
"181-129,9-17",181-129,9-17,12
"181-131,19-24",181-131,19-24,12
"181-131,9-17",181-131,9-17,12
"181-138,19-24",181-138,19-24,12
"181-138,9-17",181-138,9-17,12
"181-139,9-17",181-139,9-17,12
"181-144,0-7",181-144,0-7,12
"181-144,17-19",181-144,17-19,12
"181-144,19-24",181-144,19-24,12
"181-152,0-7",181-152,0-7,12
"181-152,9-17",181-152,9-17,12
"181-156,9-17",181-156,9-17,12
"181-164,19-24",181-164,19-24,12
"181-164,7-9",181-164,7-9,12
"181-164,9-17",181-164,9-17,12
"181-17,0-7",181-17,0-7,12
"181-171,0-7",181-171,0-7,12
"181-178,7-9",181-178,7-9,12
"181-178,9-17",181-178,9-17,12
"181-181,9-17",181-181,9-17,12
"181-182,0-7",181-182,0-7,12
"181-182,17-19",181-182,17-19,12
"181-185,17-19",181-185,17-19,12
"181-187,19-24",181-187,19-24,12
"181-188,9-17",181-188,9-17,12
"181-196,19-24",181-196,19-24,12
"181-198,19-24",181-198,19-24,12
"181-201,19-24",181-201,19-24,12
"181-203,7-9",181-203,7-9,12
"181-3,17-19",181-3,17-19,12
"181-3,19-24",181-3,19-24,24
"181-3,7-9",181-3,7-9,12
"181-3,9-17",181-3,9-17,20
"181-37,17-19",181-37,17-19,12
"181-47,0-7",181-47,0-7,12
"181-52,7-9",181-52,7-9,12
"181-54,0-7",181-54,0-7,12
"181-55,19-24",181-55,19-24,12
"181-62,19-24",181-62,19-24,12
"181-7,7-9",181-7,7-9,12
"181-81,0-7",181-81,0-7,24
"181-87,19-24",181-87,19-24,12
"182-1009,0-7",182-1009,0-7,12
"182-114,19-24",182-114,19-24,12
"182-116,0-7",182-116,0-7,12
"182-116,9-17",182-116,9-17,12
"182-118,0-7",182-118,0-7,12
"182-128,0-7",182-128,0-7,12
"182-144,9-17",182-144,9-17,12
"182-181,17-19",182-181,17-19,12
"182-187,17-19",182-187,17-19,12
"182-195,7-9",182-195,7-9,12
"182-199,9-17",182-199,9-17,12
"182-201,19-24",182-201,19-24,12
"182-205,0-7",182-205,0-7,12
"182-205,19-24",182-205,19-24,12
"182-33,9-17",182-33,9-17,12
"182-61,0-7",182-61,0-7,12
"182-79,19-24",182-79,19-24,24
"183-1005,19-24",183-1005,19-24,12
"183-1005,9-17",183-1005,9-17,12
"183-116,17-19",183-116,17-19,12
"183-128,0-7",183-128,0-7,12
"183-142,0-7",183-142,0-7,12
"183-142,19-24",183-142,19-24,12
"183-145,9-17",183-145,9-17,12
"183-164,19-24",183-164,19-24,12
"183-168,9-17",183-168,9-17,12
"183-194,0-7",183-194,0-7,12
"183-201,9-17",183-201,9-17,12
"183-203,0-7",183-203,0-7,12
"183-203,7-9",183-203,7-9,12
"183-206,9-17",183-206,9-17,12
"183-23,7-9",183-23,7-9,12
"184-156,9-17",184-156,9-17,12
"184-164,19-24",184-164,19-24,12
"184-164,7-9",184-164,7-9,12
"184-164,9-17",184-164,9-17,12
"184-201,7-9",184-201,7-9,12
"184-204,9-17",184-204,9-17,12
"184-3,17-19",184-3,17-19,36
"184-3,19-24",184-3,19-24,36
"184-3,9-17",184-3,9-17,12
"184-65,9-17",184-65,9-17,12
"184-76,9-17",184-76,9-17,24
"184-77,7-9",184-77,7-9,24
"185-1005,19-24",185-1005,19-24,12
"185-196,0-7",185-196,0-7,12
"185-198,9-17",185-198,9-17,12
"185-203,9-17",185-203,9-17,12
"185-205,9-17",185-205,9-17,12
"185-74,9-17",185-74,9-17,24
"186-1,7-9",186-1,7-9,12
"186-114,19-24",186-114,19-24,12
"186-123,9-17",186-123,9-17,12
"186-128,9-17",186-128,9-17,12
"186-129,0-7",186-129,0-7,12
"186-146,0-7",186-146,0-7,12
"186-159,9-17",186-159,9-17,12
"186-163,9-17",186-163,9-17,12
"186-164,19-24",186-164,19-24,12
"186-17,0-7",186-17,0-7,12
"186-190,9-17",186-190,9-17,12
"186-200,9-17",186-200,9-17,12
"186-201,19-24",186-201,19-24,12
"186-203,7-9",186-203,7-9,12
"186-205,0-7",186-205,0-7,12
"186-3,17-19",186-3,17-19,36
"186-3,9-17",186-3,9-17,12
"186-62,7-9",186-62,7-9,12
"186-76,7-9",186-76,7-9,24
"187-1003,9-17",187-1003,9-17,12
"187-128,9-17",187-128,9-17,12
"187-131,19-24",187-131,19-24,12
"187-131,7-9",187-131,7-9,12
"187-201,0-7",187-201,0-7,12
"187-201,19-24",187-201,19-24,12
"187-205,19-24",187-205,19-24,12
"187-45,7-9",187-45,7-9,12
"188-129,7-9",188-129,7-9,12
"188-164,19-24",188-164,19-24,12
"188-174,19-24",188-174,19-24,12
"188-188,9-17",188-188,9-17,12
"188-194,9-17",188-194,9-17,12
"188-205,9-17",188-205,9-17,24
"188-206,9-17",188-206,9-17,12
"188-43,9-17",188-43,9-17,12
"189-1008,9-17",189-1008,9-17,12
"189-1009,0-7",189-1009,0-7,12
"189-113,17-19",189-113,17-19,12
"189-116,7-9",189-116,7-9,12
"189-142,0-7",189-142,0-7,12
"189-190,9-17",189-190,9-17,12
"189-194,0-7",189-194,0-7,12
"189-194,9-17",189-194,9-17,12
"189-195,9-17",189-195,9-17,12
"189-198,19-24",189-198,19-24,12
"189-206,0-7",189-206,0-7,12
"189-45,0-7",189-45,0-7,12
"189-7,19-24",189-7,19-24,12
"19-10,17-19",19-10,17-19,12
"19-10,9-17",19-10,9-17,12
"19-1009,9-17",19-1009,9-17,12
"19-1013,17-19",19-1013,17-19,12
"19-104,0-7",19-104,0-7,12
"19-129,19-24",19-129,19-24,12
"19-144,17-19",19-144,17-19,12
"19-162,19-24",19-162,19-24,12
"19-164,0-7",19-164,0-7,12
"19-17,19-24",19-17,19-24,12
"19-178,9-17",19-178,9-17,12
"19-179,0-7",19-179,0-7,12
"19-181,9-17",19-181,9-17,12
"19-19,19-24",19-19,19-24,12
"19-2,17-19",19-2,17-19,12
"19-2,19-24",19-2,19-24,12
"19-2,9-17",19-2,9-17,12
"19-201,19-24",19-201,19-24,12
"19-21,0-7",19-21,0-7,12
"19-29,17-19",19-29,17-19,12
"19-3,9-17",19-3,9-17,12
"19-32,0-7",19-32,0-7,12
"19-32,19-24",19-32,19-24,12
"19-32,9-17",19-32,9-17,12
"19-33,19-24",19-33,19-24,36
"19-33,9-17",19-33,9-17,12
"19-36,19-24",19-36,19-24,12
"19-47,19-24",19-47,19-24,12
"19-47,7-9",19-47,7-9,24
"19-52,0-7",19-52,0-7,12
"19-54,9-17",19-54,9-17,12
"19-7,0-7",19-7,0-7,12
"19-7,19-24",19-7,19-24,12
"19-7,9-17",19-7,9-17,12
"19-73,0-7",19-73,0-7,12
"190-131,17-19",190-131,17-19,12
"190-139,0-7",190-139,0-7,12
"190-189,9-17",190-189,9-17,12
"190-192,0-7",190-192,0-7,12
"190-193,9-17",190-193,9-17,12
"190-198,0-7",190-198,0-7,12
"190-201,17-19",190-201,17-19,12
"190-205,0-7",190-205,0-7,24
"190-62,7-9",190-62,7-9,12
"190-75,9-17",190-75,9-17,12
"191-208,7-9",191-208,7-9,12
"192-113,0-7",192-113,0-7,12
"192-116,7-9",192-116,7-9,12
"192-129,7-9",192-129,7-9,12
"192-142,19-24",192-142,19-24,12
"192-155,0-7",192-155,0-7,12
"192-47,0-7",192-47,0-7,12
"192-47,7-9",192-47,7-9,12
"193-10,0-7",193-10,0-7,12
"193-1005,17-19",193-1005,17-19,12
"193-104,9-17",193-104,9-17,24
"193-128,19-24",193-128,19-24,12
"193-142,19-24",193-142,19-24,12
"193-147,0-7",193-147,0-7,12
"193-165,0-7",193-165,0-7,12
"193-186,19-24",193-186,19-24,12
"193-189,17-19",193-189,17-19,12
"193-196,19-24",193-196,19-24,12
"193-196,9-17",193-196,9-17,12
"193-201,0-7",193-201,0-7,12
"193-207,9-17",193-207,9-17,12
"193-4,17-19",193-4,17-19,12
"194-1003,17-19",194-1003,17-19,12
"194-1003,19-24",194-1003,19-24,24
"194-1003,9-17",194-1003,9-17,12
"194-1005,17-19",194-1005,17-19,12
"194-1009,19-24",194-1009,19-24,12
"194-1013,0-7",194-1013,0-7,12
"194-113,0-7",194-113,0-7,12
"194-114,19-24",194-114,19-24,12
"194-114,9-17",194-114,9-17,12
"194-117,9-17",194-117,9-17,12
"194-119,9-17",194-119,9-17,12
"194-128,0-7",194-128,0-7,12
"194-128,17-19",194-128,17-19,12
"194-128,19-24",194-128,19-24,24
"194-128,7-9",194-128,7-9,24
"194-128,9-17",194-128,9-17,36
"194-129,19-24",194-129,19-24,24
"194-129,9-17",194-129,9-17,12
"194-131,0-7",194-131,0-7,12
"194-131,9-17",194-131,9-17,36
"194-142,19-24",194-142,19-24,24
"194-144,7-9",194-144,7-9,12
"194-144,9-17",194-144,9-17,12
"194-145,7-9",194-145,7-9,24
"194-146,19-24",194-146,19-24,12
"194-153,19-24",194-153,19-24,24
"194-163,9-17",194-163,9-17,12
"194-164,19-24",194-164,19-24,12
"194-165,9-17",194-165,9-17,12
"194-178,17-19",194-178,17-19,12
"194-182,9-17",194-182,9-17,12
"194-187,19-24",194-187,19-24,12
"194-195,7-9",194-195,7-9,12
"194-195,9-17",194-195,9-17,12
"194-198,0-7",194-198,0-7,12
"194-199,0-7",194-199,0-7,12
"194-2,0-7",194-2,0-7,12
"194-200,17-19",194-200,17-19,12
"194-200,9-17",194-200,9-17,12
"194-201,0-7",194-201,0-7,12
"194-201,17-19",194-201,17-19,12
"194-201,9-17",194-201,9-17,12
"194-202,7-9",194-202,7-9,12
"194-203,0-7",194-203,0-7,12
"194-203,19-24",194-203,19-24,12
"194-204,19-24",194-204,19-24,12
"194-205,19-24",194-205,19-24,24
"194-205,9-17",194-205,9-17,24
"194-206,7-9",194-206,7-9,12
"194-22,19-24",194-22,19-24,12
"194-32,9-17",194-32,9-17,8
"194-47,0-7",194-47,0-7,12
"194-85,9-17",194-85,9-17,12
"194-87,0-7",194-87,0-7,12
"195-1005,17-19",195-1005,17-19,12
"195-172,9-17",195-172,9-17,12
"195-194,19-24",195-194,19-24,12
"195-201,17-19",195-201,17-19,12
"196-100,7-9",196-100,7-9,12
"196-1003,0-7",196-1003,0-7,12
"196-1005,19-24",196-1005,19-24,12
"196-1013,0-7",196-1013,0-7,12
"196-104,19-24",196-104,19-24,12
"196-113,7-9",196-113,7-9,24
"196-113,9-17",196-113,9-17,12
"196-114,17-19",196-114,17-19,12
"196-124,7-9",196-124,7-9,12
"196-128,19-24",196-128,19-24,12
"196-129,19-24",196-129,19-24,6
"196-129,9-17",196-129,9-17,22
"196-131,17-19",196-131,17-19,12
"196-131,9-17",196-131,9-17,24
"196-136,17-19",196-136,17-19,12
"196-138,19-24",196-138,19-24,12
"196-142,19-24",196-142,19-24,24
"196-142,9-17",196-142,9-17,12
"196-146,9-17",196-146,9-17,12
"196-164,0-7",196-164,0-7,12
"196-164,19-24",196-164,19-24,12
"196-164,7-9",196-164,7-9,12
"196-168,9-17",196-168,9-17,12
"196-172,9-17",196-172,9-17,12
"196-173,17-19",196-173,17-19,12
"196-176,0-7",196-176,0-7,12
"196-177,9-17",196-177,9-17,12
"196-179,7-9",196-179,7-9,12
"196-185,9-17",196-185,9-17,12
"196-193,9-17",196-193,9-17,12
"196-198,9-17",196-198,9-17,12
"196-201,19-24",196-201,19-24,12
"196-201,9-17",196-201,9-17,36
"196-203,19-24",196-203,19-24,12
"196-203,9-17",196-203,9-17,12
"196-204,9-17",196-204,9-17,12
"196-206,19-24",196-206,19-24,12
"196-208,17-19",196-208,17-19,12
"196-208,19-24",196-208,19-24,12
"196-33,9-17",196-33,9-17,12
"196-47,0-7",196-47,0-7,12
"196-61,9-17",196-61,9-17,10
"196-75,19-24",196-75,19-24,24
"196-77,9-17",196-77,9-17,24
"196-85,9-17",196-85,9-17,12
"196-87,17-19",196-87,17-19,7
"197-1002,17-19",197-1002,17-19,12
"197-1005,9-17",197-1005,9-17,36
"197-104,19-24",197-104,19-24,12
"197-104,7-9",197-104,7-9,12
"197-131,0-7",197-131,0-7,12
"197-142,0-7",197-142,0-7,12
"197-142,9-17",197-142,9-17,12
"197-164,19-24",197-164,19-24,12
"197-165,7-9",197-165,7-9,12
"197-187,9-17",197-187,9-17,12
"197-189,0-7",197-189,0-7,12
"197-195,9-17",197-195,9-17,12
"197-196,17-19",197-196,17-19,12
"197-200,0-7",197-200,0-7,24
"197-203,0-7",197-203,0-7,12
"197-205,0-7",197-205,0-7,36
"197-33,0-7",197-33,0-7,12
"197-79,19-24",197-79,19-24,24
"197-90,17-19",197-90,17-19,12
"198-1,0-7",198-1,0-7,12
"198-1,19-24",198-1,19-24,12
"198-1,9-17",198-1,9-17,12
"198-1004,17-19",198-1004,17-19,12
"198-1004,19-24",198-1004,19-24,12
"198-1004,7-9",198-1004,7-9,12
"198-1005,0-7",198-1005,0-7,24
"198-1005,9-17",198-1005,9-17,12
"198-1009,0-7",198-1009,0-7,12
"198-113,7-9",198-113,7-9,12
"198-113,9-17",198-113,9-17,12
"198-114,7-9",198-114,7-9,12
"198-114,9-17",198-114,9-17,12
"198-116,17-19",198-116,17-19,12
"198-118,19-24",198-118,19-24,12
"198-123,17-19",198-123,17-19,12
"198-123,19-24",198-123,19-24,36
"198-123,7-9",198-123,7-9,12
"198-123,9-17",198-123,9-17,12
"198-125,9-17",198-125,9-17,8
"198-128,19-24",198-128,19-24,12
"198-128,9-17",198-128,9-17,12
"198-129,19-24",198-129,19-24,12
"198-142,17-19",198-142,17-19,12
"198-142,19-24",198-142,19-24,12
"198-142,9-17",198-142,9-17,12
"198-144,9-17",198-144,9-17,12
"198-151,17-19",198-151,17-19,12
"198-151,9-17",198-151,9-17,12
"198-153,19-24",198-153,19-24,24
"198-156,7-9",198-156,7-9,12
"198-156,9-17",198-156,9-17,24
"198-159,17-19",198-159,17-19,12
"198-159,7-9",198-159,7-9,12
"198-161,0-7",198-161,0-7,12
"198-161,9-17",198-161,9-17,12
"198-163,9-17",198-163,9-17,12
"198-164,17-19",198-164,17-19,48
"198-164,19-24",198-164,19-24,36
"198-164,7-9",198-164,7-9,108
"198-164,9-17",198-164,9-17,60
"198-165,0-7",198-165,0-7,12
"198-168,7-9",198-168,7-9,12
"198-186,9-17",198-186,9-17,12
"198-193,0-7",198-193,0-7,12
"198-194,19-24",198-194,19-24,20
"198-198,9-17",198-198,9-17,12
"198-201,17-19",198-201,17-19,12
"198-203,17-19",198-203,17-19,12
"198-203,9-17",198-203,9-17,12
"198-204,19-24",198-204,19-24,12
"198-205,0-7",198-205,0-7,12
"198-205,9-17",198-205,9-17,12
"198-206,0-7",198-206,0-7,12
"198-206,17-19",198-206,17-19,24
"198-206,7-9",198-206,7-9,12
"198-207,0-7",198-207,0-7,12
"198-208,9-17",198-208,9-17,12
"198-3,17-19",198-3,17-19,204
"198-3,19-24",198-3,19-24,192
"198-3,7-9",198-3,7-9,264
"198-3,9-17",198-3,9-17,300
"198-32,0-7",198-32,0-7,12
"198-32,19-24",198-32,19-24,21
"198-33,9-17",198-33,9-17,12
"198-45,17-19",198-45,17-19,12
"198-47,0-7",198-47,0-7,12
"198-47,19-24",198-47,19-24,36
"198-47,9-17",198-47,9-17,12
"198-48,0-7",198-48,0-7,12
"198-54,17-19",198-54,17-19,12
"198-61,7-9",198-61,7-9,12
"198-76,7-9",198-76,7-9,48
"198-76,9-17",198-76,9-17,48
"198-77,19-24",198-77,19-24,12
"198-77,7-9",198-77,7-9,24
"198-79,17-19",198-79,17-19,24
"199-1003,7-9",199-1003,7-9,12
"199-1007,19-24",199-1007,19-24,12
"199-116,19-24",199-116,19-24,12
"199-116,7-9",199-116,7-9,12
"199-118,9-17",199-118,9-17,12
"199-128,0-7",199-128,0-7,24
"199-128,19-24",199-128,19-24,36
"199-128,7-9",199-128,7-9,12
"199-128,9-17",199-128,9-17,12
"199-142,19-24",199-142,19-24,12
"199-142,7-9",199-142,7-9,12
"199-142,9-17",199-142,9-17,24
"199-144,17-19",199-144,17-19,12
"199-144,7-9",199-144,7-9,12
"199-144,9-17",199-144,9-17,24
"199-146,0-7",199-146,0-7,12
"199-153,19-24",199-153,19-24,12
"199-194,17-19",199-194,17-19,12
"199-196,0-7",199-196,0-7,12
"199-2,0-7",199-2,0-7,12
"199-201,17-19",199-201,17-19,12
"199-206,7-9",199-206,7-9,24
"199-206,9-17",199-206,9-17,24
"199-24,9-17",199-24,9-17,12
"199-32,9-17",199-32,9-17,12
"199-45,7-9",199-45,7-9,12
"199-47,0-7",199-47,0-7,12
"199-47,19-24",199-47,19-24,33
"199-47,9-17",199-47,9-17,8
"199-52,7-9",199-52,7-9,12
"199-65,9-17",199-65,9-17,12
"199-77,19-24",199-77,19-24,24
"2-1,0-7",2-1,0-7,24
"2-1,17-19",2-1,17-19,48
"2-1,19-24",2-1,19-24,48
"2-1,7-9",2-1,7-9,48
"2-1,9-17",2-1,9-17,96
"2-10,0-7",2-10,0-7,12
"2-1002,19-24",2-1002,19-24,12
"2-1005,19-24",2-1005,19-24,12
"2-1008,7-9",2-1008,7-9,12
"2-1008,9-17",2-1008,9-17,12
"2-1009,19-24",2-1009,19-24,12
"2-1009,7-9",2-1009,7-9,12
"2-1009,9-17",2-1009,9-17,36
"2-1013,19-24",2-1013,19-24,24
"2-1013,9-17",2-1013,9-17,36
"2-1015,0-7",2-1015,0-7,12
"2-1015,17-19",2-1015,17-19,12
"2-1015,7-9",2-1015,7-9,24
"2-104,0-7",2-104,0-7,12
"2-104,7-9",2-104,7-9,8
"2-114,0-7",2-114,0-7,12
"2-114,7-9",2-114,7-9,12
"2-114,9-17",2-114,9-17,12
"2-116,17-19",2-116,17-19,12
"2-116,9-17",2-116,9-17,24
"2-117,19-24",2-117,19-24,12
"2-119,9-17",2-119,9-17,12
"2-12,0-7",2-12,0-7,12
"2-12,19-24",2-12,19-24,12
"2-123,7-9",2-123,7-9,36
"2-123,9-17",2-123,9-17,36
"2-128,0-7",2-128,0-7,12
"2-129,7-9",2-129,7-9,12
"2-131,9-17",2-131,9-17,12
"2-132,0-7",2-132,0-7,12
"2-139,0-7",2-139,0-7,12
"2-139,19-24",2-139,19-24,12
"2-142,0-7",2-142,0-7,24
"2-142,17-19",2-142,17-19,12
"2-142,19-24",2-142,19-24,24
"2-142,7-9",2-142,7-9,11
"2-142,9-17",2-142,9-17,12
"2-144,17-19",2-144,17-19,12
"2-144,19-24",2-144,19-24,24
"2-144,9-17",2-144,9-17,24
"2-145,0-7",2-145,0-7,24
"2-156,9-17",2-156,9-17,12
"2-160,19-24",2-160,19-24,24
"2-164,7-9",2-164,7-9,12
"2-165,0-7",2-165,0-7,12
"2-17,9-17",2-17,9-17,24
"2-18,0-7",2-18,0-7,12
"2-18,19-24",2-18,19-24,24
"2-181,19-24",2-181,19-24,12
"2-19,17-19",2-19,17-19,12
"2-19,9-17",2-19,9-17,12
"2-2,17-19",2-2,17-19,24
"2-2,19-24",2-2,19-24,12
"2-2,7-9",2-2,7-9,24
"2-2,9-17",2-2,9-17,24
"2-21,0-7",2-21,0-7,24
"2-21,19-24",2-21,19-24,12
"2-21,9-17",2-21,9-17,24
"2-25,0-7",2-25,0-7,12
"2-26,19-24",2-26,19-24,12
"2-29,9-17",2-29,9-17,12
"2-3,0-7",2-3,0-7,132
"2-3,17-19",2-3,17-19,372
"2-3,19-24",2-3,19-24,468
"2-3,7-9",2-3,7-9,384
"2-3,9-17",2-3,9-17,384
"2-32,0-7",2-32,0-7,12
"2-32,7-9",2-32,7-9,12
"2-32,9-17",2-32,9-17,12
"2-34,7-9",2-34,7-9,12
"2-36,9-17",2-36,9-17,12
"2-37,19-24",2-37,19-24,24
"2-37,9-17",2-37,9-17,12
"2-41,17-19",2-41,17-19,12
"2-43,19-24",2-43,19-24,12
"2-46,0-7",2-46,0-7,24
"2-46,17-19",2-46,17-19,72
"2-46,19-24",2-46,19-24,36
"2-46,9-17",2-46,9-17,120
"2-47,0-7",2-47,0-7,12
"2-47,17-19",2-47,17-19,12
"2-47,19-24",2-47,19-24,36
"2-47,7-9",2-47,7-9,12
"2-47,9-17",2-47,9-17,60
"2-52,19-24",2-52,19-24,24
"2-58,19-24",2-58,19-24,12
"2-6,17-19",2-6,17-19,12
"2-64,9-17",2-64,9-17,24
"2-7,0-7",2-7,0-7,60
"2-7,17-19",2-7,17-19,144
"2-7,19-24",2-7,19-24,108
"2-7,7-9",2-7,7-9,120
"2-7,9-17",2-7,9-17,240
"2-71,0-7",2-71,0-7,12
"2-8,19-24",2-8,19-24,12
"2-8,7-9",2-8,7-9,12
"2-81,19-24",2-81,19-24,24
"2-81,9-17",2-81,9-17,24
"2-83,0-7",2-83,0-7,12
"2-83,17-19",2-83,17-19,12
"2-83,19-24",2-83,19-24,24
"2-83,9-17",2-83,9-17,12
"2-84,0-7",2-84,0-7,60
"2-84,17-19",2-84,17-19,36
"2-84,19-24",2-84,19-24,36
